turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
175,52.426800000000085,20.85539999999995,8.663400000000001,8.260199999999998,2.8884000000000003
176,52.74180000000008,20.971199999999946,8.689800000000004,8.283599999999998,2.892
177,53.037600000000076,21.086999999999946,8.720400000000001,8.310599999999999,2.8956
178,53.33580000000009,21.202799999999943,8.7552,8.337599999999998,2.898
179,53.62740000000008,21.318599999999943,8.782200000000001,8.3628,2.8992
180,53.908200000000086,21.434399999999943,8.816400000000002,8.387399999999998,2.8998000000000004
181,54.210000000000086,21.55019999999994,8.8482,8.411399999999999,2.9028
182,54.509400000000085,21.665999999999936,8.883,8.4378,2.9058
183,54.816600000000086,21.781799999999937,8.9082,8.453399999999998,2.9106000000000005
184,55.12980000000009,21.897599999999937,8.935800000000002,8.473799999999999,2.9136
185,55.41960000000009,22.013399999999937,8.969400000000002,8.496599999999999,2.9154000000000004
186,55.72560000000009,22.129199999999937,8.9898,8.515799999999997,2.919
187,56.04180000000009,22.244999999999933,9.020400000000002,8.541599999999999,2.9196000000000004
188,56.34000000000009,22.360799999999934,9.055200000000003,8.562599999999998,2.922
189,56.62620000000008,22.47659999999993,9.084600000000002,8.5848,2.9232
190,56.93400000000009,22.592399999999934,9.123600000000001,8.608199999999998,2.9268
191,57.23160000000009,22.70819999999993,9.162600000000003,8.634,2.9316000000000004
192,57.52980000000009,22.823999999999927,9.194400000000002,8.657399999999997,2.934
193,57.80880000000009,22.939799999999927,9.219600000000002,8.6838,2.9352000000000005
194,58.10820000000008,23.055599999999927,9.253800000000004,8.699399999999997,2.9364
195,58.404000000000096,23.171399999999927,9.285,8.714399999999998,2.9388
196,58.69800000000009,23.287199999999924,9.315600000000002,8.730599999999999,2.9424
197,59.007600000000096,23.40299999999992,9.348600000000003,8.750399999999997,2.9436000000000004
198,59.30520000000009,23.518799999999924,9.375600000000002,8.765399999999998,2.9454
199,59.599200000000096,23.63459999999992,9.408000000000001,8.7762,2.9478
200,59.9070000000001,23.75039999999992,9.437400000000002,8.797199999999998,2.949
201,60.20220000000009,23.866199999999917,9.471,8.816399999999998,2.952
202,60.4830000000001,23.981999999999918,9.498,8.8338,2.952
203,60.786000000000094,24.097799999999918,9.527400000000002,8.851799999999997,2.952
204,61.0764000000001,24.213599999999914,9.557400000000001,8.870399999999998,2.9544
205,61.386600000000094,24.329399999999914,9.585600000000003,8.890199999999998,2.9562000000000004
206,61.71360000000009,24.445199999999918,9.615600000000002,8.906999999999998,2.958
207,62.019600000000096,24.560999999999915,9.6516,8.928,2.961
208,62.302200000000084,24.67679999999991,9.6834,8.949,2.967
209,62.601000000000084,24.79259999999991,9.7086,8.971799999999998,2.967
210,62.89380000000009,24.90839999999991,9.7374,8.983799999999999,2.9688000000000003
211,63.18780000000009,25.024199999999908,9.762600000000003,8.990999999999996,2.97
212,63.484800000000085,25.13999999999991,9.7962,9.005399999999998,2.9711999999999996
213,63.79140000000008,25.25579999999991,9.825,9.0198,2.9718
214,64.09260000000009,25.371599999999912,9.854400000000002,9.037799999999999,2.973
