episode,A2C,DQN,PPO,QNN
573,182.105,20.985,500.0,238.85500000000002
574,183.315,21.355,500.0,238.785
575,185.2,21.22,500.0,239.05
576,188.905,21.185,500.0,239.58
577,192.925,21.490000000000002,500.0,239.58499999999998
578,196.48,21.990000000000002,500.0,241.545
579,200.855,22.055,500.0,241.425
580,204.095,22.015,500.0,241.88000000000002
581,207.49499999999998,21.735,500.0,241.315
582,211.295,22.035,500.0,241.68
583,215.23499999999999,21.86,500.0,242.445
584,219.59,22.125,500.0,242.86999999999998
585,223.85500000000002,21.94,500.0,245.195
586,227.975,21.945,500.0,245.61999999999998
587,232.23499999999999,22.240000000000002,500.0,243.76999999999998
588,236.35500000000002,22.265,500.0,243.455
589,240.26500000000001,22.28,500.0,242.34499999999997
590,241.93,22.2,500.0,242.59
591,243.68,21.905,500.0,244.1
592,245.815,21.945,500.0,244.10500000000002
593,248.08,21.625,500.0,242.40500000000003
594,250.195,21.235,500.0,240.25
595,251.14000000000001,21.255000000000003,500.0,239.795
596,249.96999999999997,21.3,500.0,238.51
597,248.92000000000002,21.535,500.0,241.26999999999998
598,249.36999999999998,20.93,500.0,238.33
599,249.26,20.845,500.0,238.10999999999999
600,250.21000000000004,20.994999999999997,500.0,237.93
601,250.99,21.19,500.0,238.64000000000001
602,250.92,20.994999999999997,500.0,239.82
603,251.215,21.240000000000002,500.0,239.23499999999999
604,251.35500000000002,20.94,500.0,239.7
605,252.01999999999998,21.085,500.0,237.425
606,252.48000000000002,21.1,500.0,236.48499999999999
607,252.84,21.0,500.0,237.59499999999997
608,252.78000000000003,20.97,500.0,237.98000000000002
609,252.945,20.785,500.0,239.575
610,253.57,20.93,500.0,241.14499999999998
611,254.49,21.555,500.0,237.76
612,255.66,21.555,500.0,237.31
613,255.93,22.03,500.0,238.11999999999998
614,257.935,22.57,500.0,237.50500000000002
615,261.315,22.79,500.0,238.435
616,263.87,22.715,500.0,238.76500000000001
617,265.40500000000003,22.44,500.0,236.85999999999999
618,266.82,22.669999999999998,500.0,238.10999999999999
619,267.88,22.935,500.0,238.19
620,268.53499999999997,22.465,500.0,239.075
621,268.99,22.53,500.0,239.385
622,269.585,22.825,500.0,237.42
